Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
38,1.0,0.0,0.0,925.0,18.0,120.0,1994.0,0.1,56.80900000000004,0.0,0.0,276.2070355415344,,,,,,,,,,,,,,,,,,,,,21.82800647222651,16.50957132161252,54.298181287727004,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1004.0,19.0,79.0,2073.0,0.1,62.504999999999995,0.0,0.0,283.3343303203583,,,,,,,,,,,,,,,,,,,,,26.075614040559376,19.495789288367536,60.56609812093961,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1035.0,20.0,31.0,2104.0,0.1,11.806999999999993,0.0,0.0,286.3597221374512,,,,,,,,,,,,,,,,,,,,,3.2597301720621576,3.8472762047399884,11.729395426122895,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,48.0,1.0,48.0,2152.0,0.1,27.507000000000023,0.0,0.0,380.6557195186615,,,,,,,,,,,,,,,,,,,,,8.949122201825016,9.228725406077007,27.131678359352748,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,86.0,2.0,38.0,2190.0,0.1,18.90700000000002,0.0,0.0,384.4136333465576,,,,,,,,,,,,,,,,,,,,,5.69749364117122,6.357645598443215,18.72793237846004,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,198.0,3.0,112.0,2302.0,0.1,68.40799999999997,0.0,0.0,394.6271119117737,,,,,,,,,,,,,,,,,,,,,26.84592658762259,21.43856787913712,65.53225520033176,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,349.0,4.0,151.0,2453.0,0.1,96.10700000000003,0.0,0.0,407.86829471588135,,,,,,,,,,,,,,,,,,,,,41.00568851669144,25.512483473063163,90.09524142158136,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,404.0,5.0,55.0,2508.0,0.1,33.407,0.0,0.0,412.9491322040558,,,,,,,,,,,,,,,,,,,,,11.592166071826869,11.024360148114168,32.83506816731598,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,436.0,6.0,32.0,2540.0,0.1,13.307999999999993,0.0,0.0,416.1022996902466,,,,,,,,,,,,,,,,,,,,,3.6254790132995933,4.449681920329168,13.218408269705556,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,520.0,7.0,84.0,2624.0,0.1,44.80699999999999,0.0,0.0,423.6731150150299,,,,,,,,,,,,,,,,,,,,,21.26959140273553,14.148514492873096,43.10652426417432,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,569.0,8.0,49.0,2673.0,0.1,30.70700000000002,0.0,0.0,428.5851707458496,,,,,,,,,,,,,,,,,,,,,10.712910053407587,10.317602381559198,30.24252220927938,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,652.0,9.0,83.0,2756.0,0.1,54.605999999999995,0.0,0.0,436.073650598526,,,,,,,,,,,,,,,,,,,,,22.743721878027053,16.648774101023463,52.823865992242254,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,688.0,10.0,36.0,2792.0,0.1,22.906000000000013,0.0,0.0,439.5908498764038,,,,,,,,,,,,,,,,,,,,,8.31172280817033,7.875430654592228,22.652059445737898,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,752.0,11.0,64.0,2856.0,0.1,41.407,0.0,0.0,445.4721279144287,,,,,,,,,,,,,,,,,,,,,14.628819626867205,13.593116871065886,40.551818629320515,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,780.0,12.0,28.0,2884.0,0.1,13.105999999999995,0.0,0.0,448.284686088562,,,,,,,,,,,,,,,,,,,,,3.9747896639514733,4.49892639640289,13.020734337349724,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,853.0,13.0,73.0,2957.0,0.1,46.508,0.0,0.0,455.1236915588379,,,,,,,,,,,,,,,,,,,,,15.845100005619559,15.352369615344228,45.442146550544294,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,943.0,14.0,90.0,3047.0,0.1,55.30600000000002,0.0,0.0,463.2143795490265,,,,,,,,,,,,,,,,,,,,,19.6808479915944,16.640617269703764,53.641953946695956,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
